"","WT","S","E","I","R","M","N","g.avg"
"46",270.02909926743,13,0,0,10,5,23,0.212824221942906
"47",272.810802764122,14,0,0,10,5,24,0.21318512334432
"48",279.112100639194,14,0,0,10,4,24,0.21318512334432
"49",282.45987809352,15,0,0,10,4,25,0.213517152633621
"50",287.411889918372,14,1,0,10,4,25,0.213517152633621
"51",287.714281048514,14,1,0,10,3,25,0.213517152633621
"52",287.894013547578,14,0,0,11,3,25,0.213517152633621
"53",290.08330986545,15,0,0,10,3,25,0.213517152633621
"54",290.919888939123,16,0,0,10,3,26,0.213628387529068
"55",291.916746559609,15,1,0,10,3,26,0.213628387529068
"56",292.539983901603,15,0,0,11,3,26,0.213628387529068
"57",312.407168575246,14,1,0,11,3,26,0.213628387529068
"58",312.816008799079,14,0,1,11,3,26,0.213628387529068
"59",314.776592831577,14,0,0,11,4,25,0.213517152633621
"60",318.697239348901,13,1,0,11,4,25,0.213517152633621
"61",319.221022597025,13,0,0,12,4,25,0.213517152633621
